Day,Title,Activity Type,Category,Address,Description,Icon,Coordinates
Day 1,Kleifarvatn Lake,Scenic Drive,Nature,Kleifarvatn Lake Reykjanes Peninsula,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🛣️ Scenic Drive</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Take a detour through the lunar landscapes of Reykjanes Peninsula to this deep volcanic lake. Look for steaming vents along the eastern shore signaling geothermal activity below.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/roadtrip.png,"63.9000,-22.0500"
Day 1,Laugardalslaug Swimming Pool,Rainy Day,Alternative,"Laugardalslaug, Reykjavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">☔ Rainy Day</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Laugardalslaug Swimming Pool, Reykjavík's largest outdoor thermal pool complex with various hot tubs, steam baths, and water slides - a perfect introduction to Iceland's swimming culture.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/rainy.png,"64.1370,-21.8797"
Day 1,Laugavegur Shopping Street,Shopping,Cultural,Laugavegur Reykjavík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🛍️ Shopping</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Stroll along Reykjavík's main shopping street filled with Icelandic design stores boutiques wool shops and cozy cafés. Great for picking up unique souvenirs and watching city life unfold.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/shopping.png,"64.1434,-21.9244"
Day 1,National Museum of Iceland,Museum,Indoor,Suðurgata 41 102 Reykjavík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #e3f2fd; border: 1px solid #64b5f6; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Museum</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Comprehensive exhibition covering Iceland's history from settlement to present day. The perfect introduction to Icelandic culture featuring the Valthjófsstadur Door and medieval manuscripts.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/museum.png,"64.1425,-21.9492"
Day 1,Perlan Museum,Rainy Day,Alternative,"Perlan Museum, Reykjavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">☔ Rainy Day</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Perlan Museum, featuring interactive exhibits showcasing Icelandic nature, including a real ice cave and immersive Northern Lights show, all under a distinctive glass dome with 360° city views.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/rainy.png,"64.1290,-21.9191"
Day 1,Perlan Museum & Observation Deck,Educational,Indoor,Öskjuhlíð 102 Reykjavík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #e3f2fd; border: 1px solid #64b5f6; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">📚 Educational</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Visit the ""Pearl"" of Reykjavík with its 360° observation deck and remarkable exhibitions including an indoor ice cave and immersive northern lights show.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/schools.png,"64.1289,-21.9156"
Day 1,Private Helicopter Tour,Premium Experience,Exclusive,"Reykjavík Domestic Airport, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">⭐ Premium Experience</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Experience the breathtaking landscapes of Iceland from above with a private helicopter tour over Reykjavík and the surrounding volcanic terrain, offering unparalleled views and photo opportunities of the capital region.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/star.png,"64.1300,-21.9400"
Day 1,Raufarholshellir Lava Tunnel,Cave Exploration,Adventure,Raufarholshellir Þorlákshafnarvegur 374,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🕳️ Cave Exploration</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Explore one of Iceland's longest lava tubes just 30 minutes from Reykjavík. The colorful formations and ice sculptures during winter make this a magical underground experience.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/mountains.png,"63.9526,-21.6037"
Day 1,Reykjavík Maritime Museum,Cultural,Indoor,Grandagarður 8 101 Reykjavík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #e3f2fd; border: 1px solid #64b5f6; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Cultural</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Learn about Iceland's seafaring history and its intimate relationship with the ocean. The museum includes an actual Coast Guard vessel you can explore.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/arts.png,"64.1520,-21.9480"
Day 1,Sun Voyager Sculpture,Photography,Alternative,"Sun Voyager Sculpture, Reykjavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">📸 Photography</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Sun Voyager sculpture (Sólfar), a striking stainless steel boat skeleton on Reykjavík's waterfront offering magnificent views of Mount Esja across the bay.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/camera.png,"64.1478,-21.9227"
Day 1,The National Museum of Iceland,Rainy Day,Alternative,"National Museum of Iceland, Reykjavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">☔ Rainy Day</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">The National Museum of Iceland, offering a comprehensive overview of Icelandic history from settlement to present day through fascinating artifacts and interactive displays.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/rainy.png,"64.1425,-21.9492"
Day 1,Thermal Beach Swimming,Outdoor Recreation,Nature,Nauthólsvík Geothermal Beach Reykjavík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏞️ Outdoor Recreation</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Experience the unique pleasure of swimming at Reykjavík's artificial geothermal beach where hot water is pumped into a protected bay creating comfortable swimming conditions.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/trail.png,"64.1157,-21.8901"
Day 1,Whales of Iceland Exhibition,Educational,Indoor,Fiskislóð 23-25 101 Reykjavík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #e3f2fd; border: 1px solid #64b5f6; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">📚 Educational</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Europe's largest whale exhibition featuring life-size models of the 23 whale species found in Icelandic waters. Interactive displays explain whale biology and conservation efforts.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/schools.png,"64.1510,-21.9500"
Day 2,Almannagjá Rift Valley Trail,Hiking,Alternative Hike,"Þingvellir National Park, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This 3 km trail provides stunning views of the continental divide and reaches the scenic Peningagjá 'Money Rift' where visitors toss coins into crystal-clear water. Perfect if you want a longer hike with fewer crowds than the main Þingvellir paths.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"64.2671,-21.1258"
Day 2,Brúarfoss Waterfall Trek,Hiking,Nature,Brúarfoss 806 Selfoss,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">A hidden gem 4-mile roundtrip hike to one of Iceland's most vibrant blue waterfalls. The trail follows the Brúará River past several smaller cascades before reaching the main attraction.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"64.2644,-20.5156"
Day 2,Country Dream Guesthouse,Lodging,Booked,"Country Dream guesthouse, Selfoss, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #fff9c4; border: 1px solid #fff176; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏨 Lodging</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This charming guesthouse is set in the countryside just outside Selfoss, offering a peaceful retreat after your day of exploration. The accommodation features kitchenette facilities, allowing you to prepare your own meals if desired.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/lodging.png,"63.9400,-21.0000"
Day 2,Efstidalur Farm Ice Cream,Culinary,Cultural,Efstidalur II Laugarvatn 806 Selfoss,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🍲 Culinary</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Visit this working dairy farm for farm-fresh ice cream made on-site. Large windows allow visitors to watch the cows that provide the milk while enjoying their treats.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/coffee.png,"64.1800,-20.4500"
Day 2,Faxi Waterfall Kayaking,Outdoor Recreation,Adventure,Biskupstungnabraut Road 35,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏞️ Outdoor Recreation</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Paddle beneath this wide waterfall that's often overlooked despite being just a 15-minute drive from Gullfoss. The fish ladder on the side is fascinating to watch during salmon season.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/trail.png,"64.2400,-20.3000"
Day 2,Fontana Bread & Spa Experience,Wellness,Rainy Day,"Laugarvatn Fontana, Hverabraut 1, Laugarvatn, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🧘 Wellness</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Watch traditional rye bread being baked in geothermal ground, then enjoy it warm with tastings followed by a relaxing soak protected from the elements. A perfect activity when rain makes outdoor exploration difficult.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hospitals.png,"64.1800,-20.7300"
Day 2,Friðheimar Greenhouse Extended Visit,Cultural,Rainy Day,"Friðheimar, Reykholt, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Cultural</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Instead of a quick lunch stop, spend a longer visit learning about sustainable tomato production in Iceland, enjoying their excellent tomato-themed menu, and (if available) watching their Icelandic horse show in their indoor arena.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/arts.png,"64.3050,-20.4520"
Day 2,Friðheimar Tomato Greenhouse,Culinary,Indoor,Friðheimar Reykholti 801 Selfoss,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #e3f2fd; border: 1px solid #64b5f6; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🍲 Culinary</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Visit a working tomato greenhouse where vegetables grow year-round using geothermal energy. Try their famous tomato soup or tomato ice cream in this unique farm-to-table experience.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/coffee.png,"64.3050,-20.4520"
Day 2,Geysir Geothermal Area,Natural Wonder,Highlighted,"Geysir Geothermal Area, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌈 Natural Wonder</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Home to bubbling mud pots, steaming vents, and the reliable Strokkur geyser which erupts every 5-7 minutes, shooting hot water up to 20 meters in the air.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/flag.png,"64.3104,-20.3024"
Day 2,Golden Circle Route,Scenic Drive,Highlighted,"Golden Circle, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🛣️ Scenic Drive</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">The Golden Circle, Iceland's most famous sightseeing route featuring three stunning locations: Þingvellir National Park, Geysir Geothermal Area, and Gullfoss Waterfall.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/roadtrip.png,"64.2559,-20.8000"
Day 2,Gullfoss Waterfall,Natural Wonder,Highlighted,"Gullfoss Waterfall, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌈 Natural Wonder</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Experience the raw power of this massive two-tiered waterfall as it thunders down into a rugged canyon, sending mist and rainbows into the air. The waterfall drops a total of 105 feet in two dramatic stages. Several viewing platforms offer different perspectives of this natural wonder.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/flag.png,"64.3271,-20.1199"
Day 2,Hveragerði Earthquake Exhibition,Educational,Indoor,Sunnumörk 2 810 Hveragerði,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #e3f2fd; border: 1px solid #64b5f6; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">📚 Educational</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Interactive exhibits demonstrating Iceland's seismic activity including an ""earthquake simulator"" that recreates the 6.3 magnitude quake that struck the town in 2008.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/schools.png,"64.0000,-21.2000"
Day 2,Kerið Crater,Natural Wonder,Alternative,"Kerið Crater, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌈 Natural Wonder</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Kerið Crater, a 3,000-year-old volcanic crater lake with striking red and orange rock contrasting against the vivid blue water.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/flag.png,"64.0413,-20.8851"
Day 2,Kerid Crater Lake,Geological,Nature,Kerið Selfoss,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌋 Geological</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This 3000-year-old explosion crater filled with brilliant blue water is surrounded by red volcanic rock. Walk the rim trail or descend to the lake on a well-maintained path.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/volcano.png,"64.0413,-20.8851"
Day 2,Lava Centre,Rainy Day,Alternative,"Lava Centre, Hvolsvöllur, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">☔ Rainy Day</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Lava Centre in Hvolsvöllur, an interactive, high-tech educational exhibition about Iceland's volcanoes, earthquakes, and geological formation, perfect for understanding the land of fire and ice.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/rainy.png,"63.7448,-20.2503"
Day 2,Lunch at Friðheimar,Dining,Alternative,"Friðheimar, Reykholt, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🍽️ Dining</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Enjoy lunch at this unique tomato greenhouse restaurant where you can eat fresh tomato soup and bread inside a working greenhouse illuminated by artificial lighting that enables year-round cultivation.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/dining.png,"64.3050,-20.4520"
Day 2,Rauðhólar (Red Hills) Hike,Hiking,Alternative Hike,"Near Reykjadalur, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This 5 km loop through 5,000-year-old pseudo-craters offers vibrant colors and unique geological features without the crowds of the Reykjadalur thermal river area.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"64.0800,-21.7600"
Day 2,Reykjadalur Hot Spring Thermal River Hike,Hiking,Highlighted,"Reykjadalur Valley, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This unforgettable 3-mile round trip hike (<strong>moderate</strong> difficulty) leads through a steaming geothermal valley to a natural hot river where you can bathe in varying temperatures. The trail takes about 45-60 minutes each way, with stunning views throughout.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"64.0135,-21.2105"
Day 2,Reykjadalur Ridge Hike,Hiking,Nature,Near Reykjadalur Valley,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">A <strong>challenging</strong> extension to the hot spring hike taking you along the ridgeline above the valley with panoramic views of steaming vents colorful rhyolite mountains and distant glaciers.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"64.0200,-21.2100"
Day 2,Secret Lagoon,Hidden Gem,Alternative,"Secret Lagoon, Flúðir, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">💎 Hidden Gem</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Secret Lagoon (Gamla Laugin), Iceland's oldest swimming pool dating back to 1891, offering a more authentic and less crowded geothermal bathing experience than the Blue Lagoon.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/star.png,"64.1374,-20.3099"
Day 2,Secret Lagoon Hot Spring,Hot Spring,Nature,Hvammsvegur 35 845 Flúðir,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">♨️ Hot Spring</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Bathe in Iceland's oldest swimming pool built in 1891 where natural hot springs bubble up through the sandy bottom. More authentic and less crowded than the Blue Lagoon.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/water.png,"64.1374,-20.3099"
